image_id,width,height,n_objects,n_attributes,n_relations,attrs_per_obj,rels_per_obj
2349252,500,357,19,11,84,0.579,4.421
2385147,500,333,26,13,103,0.5,3.962
2329769,500,400,11,4,24,0.364,2.182
2410814,500,375,12,15,31,1.25,2.583
2323452,500,180,10,0,12,0.0,1.2
2377150,500,313,20,16,97,0.8,4.85
2400938,500,318,2,2,2,1.0,1.0
2323105,500,500,9,3,4,0.333,0.444
2323459,500,333,14,1,18,0.071,1.286
2323109,500,333,18,6,98,0.333,5.444
2377159,333,500,29,20,76,0.69,2.621
2398244,500,281,27,7,129,0.259,4.778
2332299,500,333,8,3,10,0.375,1.25
2406796,333,500,13,7,12,0.538,0.923
2416149,500,374,16,7,42,0.438,2.625
2332297,500,395,15,3,12,0.2,0.8
2332290,500,375,17,3,58,0.176,3.412
2398249,500,333,15,12,30,0.8,2.0
2356082,500,333,13,8,34,0.615,2.615
2366487,500,213,9,7,10,0.778,1.111
515,800,600,18,10,62,0.556,3.444
2394009,500,333,14,13,17,0.929,1.214
2376792,500,333,26,10,75,0.385,2.885
2368153,500,331,10,9,14,0.9,1.4
2332498,500,334,4,2,3,0.5,0.75
2349434,375,500,19,8,46,0.421,2.421
2349435,500,334,26,3,100,0.115,3.846
2349439,500,375,25,12,91,0.48,3.64
2323032,375,500,13,4,33,0.308,2.538
2346965,500,281,24,3,81,0.125,3.375
2391748,500,334,13,10,17,0.769,1.308
2324708,500,500,11,13,6,1.182,0.545
2399147,500,333,18,18,22,1.0,1.222
2385420,500,375,18,18,36,1.0,2.0
2360558,332,500,17,10,33,0.588,1.941
2356089,500,375,27,16,84,0.593,3.111
2360554,500,334,17,14,14,0.824,0.824
2404666,500,500,17,13,54,0.765,3.176
2360882,500,331,18,9,72,0.5,4.0
2322855,500,375,10,8,10,0.8,1.0
2383595,500,375,26,6,96,0.231,3.692
2338855,500,375,7,6,5,0.857,0.714
2318016,500,333,16,10,58,0.625,3.625
2366734,500,375,17,7,15,0.412,0.882
2368572,375,500,15,4,8,0.267,0.533
2366730,500,375,8,1,0,0.125,0.0
2318011,500,333,11,10,20,0.909,1.818
2354049,500,333,25,9,25,0.36,1.0
2326169,500,416,9,0,8,0.0,0.889
2354042,500,375,21,6,84,0.286,4.0
2315880,333,500,38,24,145,0.632,3.816
2360080,500,333,13,3,41,0.231,3.154
2357535,375,500,13,3,12,0.231,0.923
2350216,500,314,19,16,30,0.842,1.579
2350743,500,375,17,16,46,0.941,2.706
2357245,500,333,6,4,4,0.667,0.667
2318333,500,334,17,11,34,0.647,2.0
2318332,500,375,24,12,89,0.5,3.708
2318330,500,331,24,10,160,0.417,6.667
2324455,500,375,4,3,0,0.75,0.0
2318336,500,375,10,4,21,0.4,2.1
2409205,500,376,28,5,209,0.179,7.464
2324105,500,333,21,1,17,0.048,0.81
4598,800,600,21,2,54,0.095,2.571
2354691,313,500,12,11,15,0.917,1.25
2417543,500,465,17,7,45,0.412,2.647
2366471,500,333,10,2,6,0.2,0.6
2334661,500,375,14,4,56,0.286,4.0
2359592,500,333,15,11,28,0.733,1.867
2334664,500,332,10,8,2,0.8,0.2
2392896,500,418,9,12,9,1.333,1.0
2331017,500,333,16,10,54,0.625,3.375
2331015,331,500,20,9,33,0.45,1.65
2331014,333,500,8,1,12,0.125,1.5
2336291,500,375,2,0,0,0.0,0.0
2336292,500,375,27,13,131,0.481,4.852
2325851,500,419,12,10,30,0.833,2.5
2336294,500,333,15,4,32,0.267,2.133
2370657,500,333,9,3,6,0.333,0.667
2325854,500,400,11,3,21,0.273,1.909
2370655,500,333,11,4,17,0.364,1.545
497942,768,1024,29,12,94,0.414,3.241
2330632,500,332,1,2,0,2.0,0.0
2339277,500,383,17,9,45,0.529,2.647
2335000,500,333,6,2,5,0.333,0.833
2411256,375,500,14,10,25,0.714,1.786
2374935,500,333,18,5,49,0.278,2.722
2404499,500,333,14,11,39,0.786,2.786
2401323,500,500,7,11,14,1.571,2.0
2334521,500,375,16,6,58,0.375,3.625
2401325,500,500,26,32,112,1.231,4.308
2347569,500,500,13,12,48,0.923,3.692
2368165,493,500,15,9,42,0.6,2.8
2407387,500,375,18,16,100,0.889,5.556
2415941,333,500,17,7,38,0.412,2.235
2415946,500,370,11,6,31,0.545,2.818
2368160,500,375,11,9,10,0.818,0.909
2347560,500,333,6,4,5,0.667,0.833
2407945,500,375,41,14,253,0.341,6.171
2301,800,600,16,3,89,0.188,5.562
2378683,500,333,16,15,38,0.938,2.375
2378923,375,500,16,10,34,0.625,2.125
2380286,333,500,12,2,26,0.167,2.167
4620,512,405,12,2,28,0.167,2.333
4622,800,600,12,5,25,0.417,2.083
4626,512,396,22,12,68,0.545,3.091
2394351,493,500,14,9,19,0.643,1.357
2356112,500,375,10,6,7,0.6,0.7
2328226,500,375,12,4,40,0.333,3.333
2410256,500,331,15,20,66,1.333,4.4
2399976,500,333,0,0,0,0.0,0.0
2320754,333,500,10,8,8,0.8,0.8
2320752,375,500,3,0,1,0.0,0.333
2319825,480,360,22,13,64,0.591,2.909
2387391,333,500,17,6,9,0.353,0.529
2319822,500,325,16,3,32,0.188,2.0
2364258,500,375,26,6,150,0.231,5.769
2364704,500,375,15,3,13,0.2,0.867
2358240,500,333,12,1,33,0.083,2.75
2327904,333,500,11,3,18,0.273,1.636
2356371,500,375,27,13,85,0.481,3.148
2327903,500,500,18,1,17,0.056,0.944
2327900,500,333,22,7,61,0.318,2.773
2356372,500,489,27,28,94,1.037,3.481
2327909,334,500,15,4,32,0.267,2.133
2337368,348,500,1,0,0,0.0,0.0
174,800,594,13,14,22,1.077,1.692
1592634,683,1024,16,4,41,0.25,2.562
2399328,500,304,15,3,43,0.2,2.867
2399323,500,375,12,7,36,0.583,3.0
2400329,500,375,8,7,13,0.875,1.625
2369561,500,333,33,13,153,0.394,4.636
2369567,500,500,20,6,53,0.3,2.65
2325480,395,500,17,11,39,0.647,2.294
2388844,333,500,35,18,127,0.514,3.629
2382418,500,332,18,8,18,0.444,1.0
2408133,500,390,14,4,50,0.286,3.571
2384158,363,500,24,15,62,0.625,2.583
2328489,500,500,10,4,31,0.4,3.1
2332841,500,333,7,3,4,0.429,0.571
2415053,500,281,24,15,24,0.625,1.0
2328951,334,500,7,2,4,0.286,0.571
2384150,400,500,16,16,42,1.0,2.625
2337508,500,333,14,2,30,0.143,2.143
2393871,500,332,17,2,53,0.118,3.118
2410668,500,375,8,11,10,1.375,1.25
2407148,500,333,23,15,116,0.652,5.043
2325221,500,396,15,3,68,0.2,4.533
2325220,500,344,5,2,0,0.4,0.0
2338636,500,500,7,2,1,0.286,0.143
2385828,331,500,2,0,2,0.0,1.0
2329570,500,206,13,9,18,0.692,1.385
2329573,500,333,13,7,25,0.538,1.923
2385826,375,500,23,24,84,1.043,3.652
2355875,500,333,5,6,5,1.2,1.0
2355874,500,342,41,11,283,0.268,6.902
2356128,500,334,12,13,39,1.083,3.25
2398749,500,350,14,10,24,0.714,1.714
2348644,500,375,8,3,12,0.375,1.5
2398747,500,374,11,12,29,1.091,2.636
1592427,1024,683,9,2,4,0.222,0.444
2352473,500,333,18,6,50,0.333,2.778
2359351,500,375,10,12,18,1.2,1.8
2393912,500,333,10,7,18,0.7,1.8
2374010,332,500,12,2,12,0.167,1.0
2334287,500,375,9,3,9,0.333,1.0
2394635,500,333,4,4,0,1.0,0.0
2361918,500,375,27,10,109,0.37,4.037
2343698,500,375,23,21,63,0.913,2.739
2361911,318,500,22,9,19,0.409,0.864
2343691,500,334,12,9,4,0.75,0.333
2316757,500,416,20,9,76,0.45,3.8
2403677,334,500,30,11,156,0.367,5.2
2316759,375,500,12,15,14,1.25,1.167
2366034,500,375,18,8,67,0.444,3.722
2366036,500,334,25,4,131,0.16,5.24
2366031,334,500,14,8,35,0.571,2.5
2368765,500,333,17,14,62,0.824,3.647
2369056,500,301,20,8,66,0.4,3.3
2322628,500,333,7,2,0,0.286,0.0
2322199,500,375,23,8,126,0.348,5.478
2322195,500,333,6,1,4,0.167,0.667
2388669,500,333,25,4,168,0.16,6.72
2411536,334,500,0,0,0,0.0,0.0
2326757,375,500,16,1,51,0.062,3.188
2407307,500,333,12,13,14,1.083,1.167
2386425,500,412,4,2,3,0.5,0.75
2408865,500,375,10,9,15,0.9,1.5
2388667,500,281,17,2,42,0.118,2.471
2332593,375,500,20,6,37,0.3,1.85
1592134,1024,768,27,18,119,0.667,4.407
2389826,500,334,30,11,80,0.367,2.667
1592132,683,1024,29,10,97,0.345,3.345
2389822,500,390,4,5,4,1.25,1.0
2377303,500,375,20,9,65,0.45,3.25
1761,800,600,26,15,99,0.577,3.808
2389829,500,375,13,22,21,1.692,1.615
2324933,500,379,14,1,19,0.071,1.357
2334851,500,500,9,1,30,0.111,3.333
2334855,333,500,7,1,4,0.143,0.571
2334856,500,333,7,5,0,0.714,0.0
2402230,334,500,19,20,39,1.053,2.053
2402232,375,500,22,14,57,0.636,2.591
713325,1024,768,2,1,0,0.5,0.0
2326282,500,243,18,19,76,1.056,4.222
2322443,500,375,7,3,5,0.429,0.714
2342015,500,500,10,5,18,0.5,1.8
2396376,500,375,22,14,74,0.636,3.364
1547,640,480,4,7,17,1.75,4.25
691,534,801,9,9,4,1.0,0.444
695,800,533,0,0,0,0.0,0.0
2390791,500,281,11,3,7,0.273,0.636
2390060,500,375,12,15,18,1.25,1.5
2354454,500,500,20,12,81,0.6,4.05
2351975,500,375,18,8,80,0.444,4.444
2396086,500,319,14,16,20,1.143,1.429
2358744,375,500,16,6,34,0.375,2.125
2358741,500,375,22,9,113,0.409,5.136
2354182,500,332,24,13,48,0.542,2.0
2354183,500,333,22,6,105,0.273,4.773
2322922,500,375,13,10,48,0.769,3.692
2335456,500,333,17,18,53,1.059,3.118
2335455,500,333,9,3,11,0.333,1.222
2414832,500,375,19,2,59,0.105,3.105
2332332,333,500,5,3,0,0.6,0.0
2350515,500,333,7,9,5,1.286,0.714
713488,1229,1164,7,1,6,0.143,0.857
2382258,500,331,13,24,16,1.846,1.231
2371466,500,333,26,9,96,0.346,3.692
2376307,375,500,23,18,112,0.783,4.87
2416088,500,375,12,6,26,0.5,2.167
2324661,500,334,28,16,74,0.571,2.643
2416086,500,375,17,15,36,0.882,2.118
2327481,500,281,9,2,16,0.222,1.778
2379652,500,375,16,10,33,0.625,2.062
2416080,500,375,20,4,95,0.2,4.75
2376309,500,334,12,5,10,0.417,0.833
2410065,375,500,20,16,65,0.8,3.25
2370226,500,500,33,12,155,0.364,4.697
2320104,500,333,18,12,64,0.667,3.556
2400997,500,375,23,16,96,0.696,4.174
2351608,375,500,14,4,45,0.286,3.214
2405223,500,338,13,14,19,1.077,1.462
2372514,281,500,14,6,9,0.429,0.643
2405227,491,500,18,18,33,1.0,1.833
2414951,500,333,12,13,22,1.083,1.833
2405229,500,357,20,13,75,0.65,3.75
2362838,500,332,23,9,96,0.391,4.174
2416885,500,333,10,5,17,0.5,1.7
2416882,500,332,9,3,11,0.333,1.222
2391684,370,500,19,8,69,0.421,3.632
2362834,361,500,13,0,9,0.0,0.692
2324591,500,334,28,13,99,0.464,3.536
2324594,375,500,14,5,15,0.357,1.071
2324597,500,375,15,7,39,0.467,2.6
2410392,500,339,16,15,28,0.938,1.75
2392134,500,375,3,0,2,0.0,0.667
2394837,500,357,16,8,47,0.5,2.938
2335027,500,388,18,7,47,0.389,2.611
2357186,368,500,26,9,116,0.346,4.462
2414484,500,375,19,15,26,0.789,1.368
2360689,500,375,7,4,10,0.571,1.429
2323902,500,333,23,3,137,0.13,5.957
2346579,500,375,13,4,35,0.308,2.692
2323906,500,332,11,2,32,0.182,2.909
2406429,500,333,17,6,71,0.353,4.176
2406428,334,500,33,38,159,1.152,4.818
2315699,500,333,30,7,136,0.233,4.533
2374543,500,375,12,14,30,1.167,2.5
2379750,333,500,11,11,20,1.0,1.818
2315693,500,375,11,3,19,0.273,1.727
2374540,500,380,19,13,60,0.684,3.158
2345841,333,500,50,14,197,0.28,3.94
2374541,375,500,19,6,29,0.316,1.526
2359433,500,500,37,18,138,0.486,3.73
2347999,500,333,5,2,7,0.4,1.4
2347997,500,468,18,6,71,0.333,3.944
2352110,500,333,16,1,34,0.062,2.125
2333753,500,333,21,14,82,0.667,3.905
2320625,500,326,4,0,2,0.0,0.5
2384407,500,333,15,15,32,1.0,2.133
2320623,500,333,37,9,125,0.243,3.378
2412369,500,313,24,20,102,0.833,4.25
2415537,500,313,27,12,129,0.444,4.778
2379172,500,375,8,7,10,0.875,1.25
2415535,500,331,22,12,36,0.545,1.636
2417025,500,375,5,4,8,0.8,1.6
2412502,500,331,23,16,118,0.696,5.13
2378743,335,500,11,13,30,1.182,2.727
2378218,500,333,12,4,4,0.333,0.333
2378748,500,500,13,8,52,0.615,4.0
2361766,500,333,26,9,102,0.346,3.923
2368887,375,500,20,7,56,0.35,2.8
2317347,500,299,12,8,17,0.667,1.417
2317346,500,375,26,12,120,0.462,4.615
2317344,500,500,46,16,203,0.348,4.413
2317343,374,500,13,11,26,0.846,2.0
2347205,500,375,15,7,37,0.467,2.467
2374212,500,333,3,0,1,0.0,0.333
2339489,500,356,10,4,19,0.4,1.9
2395301,500,500,8,7,10,0.875,1.25
2340503,500,375,18,11,32,0.611,1.778
2347201,500,375,9,6,8,0.667,0.889
2347226,500,375,16,6,47,0.375,2.938
2340509,500,341,15,10,40,0.667,2.667
3681,512,512,5,3,5,0.6,1.0
3680,640,480,19,9,70,0.474,3.684
3687,640,631,3,2,2,0.667,0.667
3686,800,600,5,3,7,0.6,1.4
2316248,333,500,45,12,142,0.267,3.156
2396968,500,313,13,13,25,1.0,1.923
2400339,500,375,17,17,30,1.0,1.765
2512,800,600,8,1,5,0.125,0.625
2396963,500,367,11,10,48,0.909,4.364
2323573,500,333,21,10,77,0.476,3.667
2344555,500,464,13,7,26,0.538,2.0
2324567,500,333,18,13,71,0.722,3.944
2408305,500,375,19,18,93,0.947,4.895
2361585,500,333,10,6,9,0.6,0.9
2333677,500,313,21,12,139,0.571,6.619
2336824,500,333,15,8,35,0.533,2.333
2317694,500,333,26,11,127,0.423,4.885
2336820,375,500,20,8,17,0.4,0.85
2404140,281,500,24,16,79,0.667,3.292
2395045,500,160,12,6,35,0.5,2.917
2395042,500,309,16,19,21,1.188,1.312
2339738,500,375,5,2,1,0.4,0.2
3536,640,480,12,0,32,0.0,2.667
2380494,385,500,14,6,16,0.429,1.143
2355461,500,333,16,5,38,0.312,2.375
2355462,500,330,19,3,38,0.158,2.0
2344087,500,500,10,2,11,0.2,1.1
2348410,375,500,13,8,20,0.615,1.538
2328568,500,281,18,13,45,0.722,2.5
2363859,500,500,32,24,145,0.75,4.531
2383286,500,284,16,27,19,1.688,1.188
2328561,500,375,15,13,45,0.867,3.0
2328560,500,357,27,7,134,0.259,4.963
2383280,500,330,20,18,21,0.9,1.05
2342866,375,500,15,11,44,0.733,2.933
2338286,500,334,17,5,82,0.294,4.824
2344331,500,333,10,6,5,0.6,0.5
285795,800,531,27,10,115,0.37,4.259
2413138,500,332,16,26,54,1.625,3.375
2344339,500,305,15,4,31,0.267,2.067
2379284,500,357,9,4,16,0.444,1.778
2362584,500,335,23,10,142,0.435,6.174
2319039,332,500,13,2,8,0.154,0.615
2319038,375,500,12,5,22,0.417,1.833
2319034,333,500,14,13,39,0.929,2.786
2355604,500,335,12,3,28,0.25,2.333
2363853,500,375,27,12,171,0.444,6.333
2389200,500,375,2,2,2,1.0,1.0
2361386,500,375,21,5,66,0.238,3.143
2327714,500,309,11,1,12,0.091,1.091
2405764,382,500,13,12,26,0.923,2.0
2363722,500,333,17,7,45,0.412,2.647
1159914,1024,681,22,12,70,0.545,3.182
2363725,500,146,11,10,21,0.909,1.909
2377823,500,308,11,4,25,0.364,2.273
2377794,500,276,26,23,127,0.885,4.885
2379924,500,333,35,9,167,0.257,4.771
1592091,1024,685,18,4,64,0.222,3.556
2398481,500,335,18,10,65,0.556,3.611
1593260,768,1024,14,7,28,0.5,2.0
2362053,500,333,15,12,37,0.8,2.467
2406226,500,375,8,1,14,0.125,1.75
2413136,500,375,12,9,10,0.75,0.833
2406221,500,400,19,4,50,0.211,2.632
2410830,500,292,11,8,11,0.727,1.0
2381723,500,281,13,2,16,0.154,1.231
2381720,500,333,3,1,1,0.333,0.333
2329968,500,500,19,5,17,0.263,0.895
2400688,500,375,15,14,21,0.933,1.4
2342360,500,375,15,5,45,0.333,3.0
2400683,500,333,20,15,72,0.75,3.6
2329743,500,333,9,2,8,0.222,0.889
2382188,500,283,12,5,19,0.417,1.583
2329965,500,346,11,6,17,0.545,1.545
2372678,500,331,12,8,30,0.667,2.5
2335592,500,285,12,5,20,0.417,1.667
2335590,500,375,30,15,132,0.5,4.4
2390473,384,500,19,4,30,0.211,1.579
2382398,375,500,10,7,27,0.7,2.7
2335599,500,332,30,4,68,0.133,2.267
2398267,375,500,0,0,0,0.0,0.0
2335845,500,411,11,1,18,0.091,1.636
2380483,500,375,23,13,118,0.565,5.13
2402683,500,335,10,9,19,0.9,1.9
2325212,500,343,10,5,10,0.5,1.0
2393072,500,333,14,16,19,1.143,1.357
2342480,500,333,23,10,109,0.435,4.739
2348932,500,333,28,8,191,0.286,6.821
2360571,500,500,21,19,54,0.905,2.571
2325219,500,281,24,6,143,0.25,5.958
2358558,500,375,10,11,12,1.1,1.2
2401792,333,500,20,12,44,0.6,2.2
2318076,500,375,23,8,68,0.348,2.957
2362387,500,375,32,5,131,0.156,4.094
2326147,500,332,4,0,7,0.0,1.75
2349511,500,282,22,8,94,0.364,4.273
2339345,500,333,5,1,2,0.2,0.4
2328543,500,333,11,4,7,0.364,0.636
2315868,500,333,11,0,21,0.0,1.909
2349513,500,333,16,7,10,0.438,0.625
2360758,500,375,19,5,67,0.263,3.526
150366,1024,685,14,22,28,1.571,2.0
2383445,500,334,15,5,22,0.333,1.467
713157,1024,683,5,1,7,0.2,1.4
2347765,500,375,26,13,93,0.5,3.577
2347766,375,500,13,7,23,0.538,1.769
2371325,333,500,28,29,89,1.036,3.179
2371636,500,375,8,11,8,1.375,1.0
2386393,338,500,16,9,18,0.562,1.125
2349048,333,500,24,12,105,0.5,4.375
2328013,500,273,24,4,41,0.167,1.708
2417562,500,375,21,8,87,0.381,4.143
2417560,500,333,22,7,157,0.318,7.136
2349905,411,500,22,9,63,0.409,2.864
4290,512,340,17,6,39,0.353,2.294
2378917,500,326,8,10,21,1.25,2.625
2378916,500,375,4,6,0,1.5,0.0
2380934,500,375,15,17,33,1.133,2.2
2329545,500,333,4,0,2,0.0,0.5
2331030,375,500,5,2,3,0.4,0.6
2392303,500,375,24,20,55,0.833,2.292
2404963,500,375,33,34,175,1.03,5.303
2404961,375,500,12,10,19,0.833,1.583
2390812,500,333,17,9,51,0.529,3.0
2404965,500,332,25,19,61,0.76,2.44
2379350,500,333,18,12,55,0.667,3.056
2330610,500,335,8,4,2,0.5,0.25
2379353,500,333,14,8,51,0.571,3.643
2347500,370,500,24,2,125,0.083,5.208
2390603,500,334,14,15,13,1.071,0.929
2390602,500,375,0,0,0,0.0,0.0
2367404,500,375,20,8,63,0.4,3.15
1324,640,432,26,13,84,0.5,3.231
2323821,500,295,16,13,89,0.812,5.562
4747,400,300,32,2,202,0.062,6.312
4745,400,300,14,0,22,0.0,1.571
2350232,375,500,9,6,14,0.667,1.556
2184,547,800,7,1,11,0.143,1.571
2378071,500,333,26,8,145,0.308,5.577
2189,712,800,25,3,82,0.12,3.28
2320739,500,357,13,6,48,0.462,3.692
2331695,500,333,5,0,7,0.0,1.4
2320731,500,375,6,6,20,1.0,3.333
2375532,500,333,26,16,138,0.615,5.308
2410230,375,500,16,18,65,1.125,4.062
4208,640,480,22,15,36,0.682,1.636
2414039,500,375,19,17,54,0.895,2.842
2413023,500,334,28,25,118,0.893,4.214
2387376,500,375,16,13,31,0.812,1.938
2319804,500,375,22,7,79,0.318,3.591
2364274,500,331,26,8,69,0.308,2.654
2373240,500,350,8,2,12,0.25,1.5
2373242,500,333,18,9,27,0.5,1.5
2373243,500,333,15,5,40,0.333,2.667
2416767,500,375,13,7,15,0.538,1.154
2416766,500,333,10,2,29,0.2,2.9
2416765,500,334,10,2,14,0.2,1.4
2373249,500,333,6,3,4,0.5,0.667
2415826,334,500,19,16,33,0.842,1.737
2334803,500,375,5,1,3,0.2,0.6
2337340,500,375,17,14,78,0.824,4.588
2337344,500,375,19,12,77,0.632,4.053
2337695,500,333,7,4,15,0.571,2.143
2399658,426,292,18,15,48,0.833,2.667
2336226,500,375,13,2,24,0.154,1.846
2400302,500,334,14,11,38,0.786,2.714
4206,482,724,15,8,14,0.533,0.933
2331965,500,378,16,8,24,0.5,1.5
2388869,500,333,14,16,34,1.143,2.429
2387118,500,375,7,15,9,2.143,1.286
2398754,500,500,21,14,72,0.667,3.429
2335270,375,500,12,5,11,0.417,0.917
2387117,500,374,20,13,66,0.65,3.3
2348877,375,500,17,3,39,0.176,2.294
2368451,500,281,49,19,350,0.388,7.143
2338347,500,396,4,0,1,0.0,0.25
2722,800,600,10,11,14,1.1,1.4
2338342,500,333,0,0,0,0.0,0.0
2720,800,600,1,0,0,0.0,0.0
2384131,500,333,10,7,14,0.7,1.4
2384134,333,500,16,6,43,0.375,2.688
